 #as colunas representam na ordem:
 # x(t)             y(t)             vx(t)           vy(t)             t
  -18.0000000       80.0000000      -5.00000000      -13.0000000       65.6001053    
  -20.0000000       74.8000031      -5.00000000      -13.0000000       66.0001068    
  -22.0000000       69.6000061      -5.00000000      -13.0000000       66.4001083    
  -24.0000000       64.4000092      -5.00000000      -13.0000000       66.8001099    
  -26.0000000       59.2000084      -5.00000000      -13.0000000       67.2001114    
  -28.0000000       54.0000076      -5.00000000      -13.0000000       67.6001129    
  -30.0000000       48.8000069      -5.00000000      -13.0000000       68.0001144    
  -32.0000000       43.6000061      -5.00000000      -13.0000000       68.4001160    
  -34.0000000       38.4000053      -5.00000000      -13.0000000       68.8001175    
  -36.0000000       33.2000046      -5.00000000      -13.0000000       69.2001190    
  -38.0000000       28.0000038      -5.00000000      -13.0000000       69.6001205    
  -40.0000000       22.8000031      -5.00000000      -13.0000000       70.0001221    
  -42.0000000       17.6000023      -5.00000000      -13.0000000       70.4001236    
  -44.0000000       12.4000015      -5.00000000      -13.0000000       70.8001251    
  -46.0000000       7.20000124      -5.00000000      -13.0000000       71.2001266    
  -48.0000000       2.00000095      -5.00000000      -13.0000000       71.6001282    
  -50.0000000      -3.19999933      -5.00000000      -13.0000000       72.0001297    
  -52.0000000      -8.39999962      -5.00000000      -13.0000000       72.4001312    
  -54.0000000      -13.6000004      -5.00000000      -13.0000000       72.8001328    
  -56.0000000      -18.8000011      -5.00000000      -13.0000000       73.2001343    
  -58.0000000      -24.0000019      -5.00000000      -13.0000000       73.6001358    
  -60.0000000      -29.2000027      -5.00000000      -13.0000000       74.0001373    
  -62.0000000      -34.4000015      -5.00000000      -13.0000000       74.4001389    
  -64.0000000      -39.6000023      -5.00000000      -13.0000000       74.8001404    
  -66.0000000      -44.8000031      -5.00000000      -13.0000000       75.2001419    
  -68.0000000      -50.0000038      -5.00000000      -13.0000000       75.6001434    
  -70.0000000      -55.2000046      -5.00000000      -13.0000000       76.0001450    
  -72.0000000      -60.4000053      -5.00000000      -13.0000000       76.4001465    
  -74.0000000      -65.6000061      -5.00000000      -13.0000000       76.8001480    
  -76.0000000      -70.8000031      -5.00000000      -13.0000000       77.2001495    
  -78.0000000      -76.0000000      -5.00000000      -13.0000000       77.6001511    
  -80.0000000      -81.1999969      -5.00000000      -13.0000000       78.0001526    
  -82.0000000      -86.3999939      -5.00000000      -13.0000000       78.4001541    
  -84.0000000      -91.5999908      -5.00000000      -13.0000000       78.8001556    
  -86.0000000      -96.7999878      -5.00000000      -13.0000000       79.2001572    
  -88.0000000      -101.999985      -5.00000000       13.0000000       79.6001587    
  -90.0000000      -96.7999878      -5.00000000       13.0000000       80.0001602    
  -92.0000000      -91.5999908      -5.00000000       13.0000000       80.4001617    
  -94.0000000      -86.3999939      -5.00000000       13.0000000       80.8001633    
  -96.0000000      -81.1999969      -5.00000000       13.0000000       81.2001648    
  -98.0000000      -76.0000000      -5.00000000       13.0000000       81.6001663    
  -100.000000      -70.8000031       5.00000000       13.0000000       82.0001678    
  -98.0000000      -65.6000061       5.00000000       13.0000000       82.4001694    
  -96.0000000      -60.4000053       5.00000000       13.0000000       82.8001709    
  -94.0000000      -55.2000046       5.00000000       13.0000000       83.2001724    
  -92.0000000      -50.0000038       5.00000000       13.0000000       83.6001740    
  -90.0000000      -44.8000031       5.00000000       13.0000000       84.0001755    
  -88.0000000      -39.6000023       5.00000000       13.0000000       84.4001770    
  -86.0000000      -34.4000015       5.00000000       13.0000000       84.8001785    
  -84.0000000      -29.2000008       5.00000000       13.0000000       85.2001801    
  -82.0000000      -24.0000000       5.00000000       13.0000000       85.6001816    
  -80.0000000      -18.7999992       5.00000000       13.0000000       86.0001831    
  -78.0000000      -13.5999985       5.00000000       13.0000000       86.4001846    
  -76.0000000      -8.39999771       5.00000000       13.0000000       86.8001862    
  -74.0000000      -3.19999743       5.00000000       13.0000000       87.2001877    
  -72.0000000       2.00000286       5.00000000       13.0000000       87.6001892    
  -70.0000000       7.20000315       5.00000000       13.0000000       88.0001907    
  -68.0000000       12.4000034       5.00000000       13.0000000       88.4001923    
  -66.0000000       17.6000042       5.00000000       13.0000000       88.8001938    
  -64.0000000       22.8000050       5.00000000       13.0000000       89.2001953    
  -62.0000000       28.0000057       5.00000000       13.0000000       89.6001968    
  -60.0000000       33.2000046       5.00000000       13.0000000       90.0001984    
  -58.0000000       38.4000053       5.00000000       13.0000000       90.4001999    
  -56.0000000       43.6000061       5.00000000       13.0000000       90.8002014    
  -54.0000000       48.8000069       5.00000000       13.0000000       91.2002029    
  -52.0000000       54.0000076       5.00000000       13.0000000       91.6002045    
  -50.0000000       59.2000084       5.00000000       13.0000000       92.0002060    
  -48.0000000       64.4000092       5.00000000       13.0000000       92.4002075    
  -46.0000000       69.6000061       5.00000000       13.0000000       92.8002090    
  -44.0000000       74.8000031       5.00000000       13.0000000       93.2002106    
  -42.0000000       80.0000000       5.00000000       13.0000000       93.6002121    
  -40.0000000       85.1999969       5.00000000       13.0000000       94.0002136    
  -38.0000000       90.3999939       5.00000000       13.0000000       94.4002151    
  -36.0000000       95.5999908       5.00000000       13.0000000       94.8002167    
  -34.0000000       100.799988       5.00000000      -13.0000000       95.2002182    
  -32.0000000       95.5999908       5.00000000      -13.0000000       95.6002197    
  -30.0000000       90.3999939       5.00000000      -13.0000000       96.0002213    
  -28.0000000       85.1999969       5.00000000      -13.0000000       96.4002228    
  -26.0000000       80.0000000       5.00000000      -13.0000000       96.8002243    
  -24.0000000       74.8000031       5.00000000      -13.0000000       97.2002258    
  -22.0000000       69.6000061       5.00000000      -13.0000000       97.6002274    
  -20.0000000       64.4000092       5.00000000      -13.0000000       98.0002289    
  -18.0000000       59.2000084       5.00000000      -13.0000000       98.4002304    
  -16.0000000       54.0000076       5.00000000      -13.0000000       98.8002319    
  -14.0000000       48.8000069       5.00000000      -13.0000000       99.2002335    
  -12.0000000       43.6000061       5.00000000      -13.0000000       99.6002350    
  -10.0000000       38.4000053       5.00000000      -13.0000000       100.000237    
  -8.00000000       33.2000046       5.00000000      -13.0000000       100.400238    
  -6.00000000       28.0000038       5.00000000      -13.0000000       100.800240    
  -4.00000000       22.8000031       5.00000000      -13.0000000       101.200241    
  -2.00000000       17.6000023       5.00000000      -13.0000000       101.600243    
   0.00000000       12.4000015       5.00000000      -13.0000000       102.000244    
   2.00000000       7.20000124       5.00000000      -13.0000000       102.400246    
   4.00000000       2.00000095       5.00000000      -13.0000000       102.800247    
   6.00000000      -3.19999933       5.00000000      -13.0000000       103.200249    
   8.00000000      -8.39999962       5.00000000      -13.0000000       103.600250    
   10.0000000      -13.6000004       5.00000000      -13.0000000       104.000252    
   12.0000000      -18.8000011       5.00000000      -13.0000000       104.400253    
   14.0000000      -24.0000019       5.00000000      -13.0000000       104.800255    
   16.0000000      -29.2000027       5.00000000      -13.0000000       105.200256    
   18.0000000      -34.4000015       5.00000000      -13.0000000       105.600258    
   20.0000000      -39.6000023       5.00000000      -13.0000000       106.000259    
   22.0000000      -44.8000031       5.00000000      -13.0000000       106.400261    
   24.0000000      -50.0000038       5.00000000      -13.0000000       106.800262    
   26.0000000      -55.2000046       5.00000000      -13.0000000       107.200264    
   28.0000000      -60.4000053       5.00000000      -13.0000000       107.600266    
   30.0000000      -65.6000061       5.00000000      -13.0000000       108.000267    
   32.0000000      -70.8000031       5.00000000      -13.0000000       108.400269    
   34.0000000      -76.0000000       5.00000000      -13.0000000       108.800270    
   36.0000000      -81.1999969       5.00000000      -13.0000000       109.200272    
   38.0000000      -86.3999939       5.00000000      -13.0000000       109.600273    
   40.0000000      -91.5999908       5.00000000      -13.0000000       110.000275    
   42.0000000      -96.7999878       5.00000000      -13.0000000       110.400276    
   44.0000000      -101.999985       5.00000000       13.0000000       110.800278    
   46.0000000      -96.7999878       5.00000000       13.0000000       111.200279    
   48.0000000      -91.5999908       5.00000000       13.0000000       111.600281    
   50.0000000      -86.3999939       5.00000000       13.0000000       112.000282    
   52.0000000      -81.1999969       5.00000000       13.0000000       112.400284    
   54.0000000      -76.0000000       5.00000000       13.0000000       112.800285    
   56.0000000      -70.8000031       5.00000000       13.0000000       113.200287    
   58.0000000      -65.6000061       5.00000000       13.0000000       113.600288    
   60.0000000      -60.4000053       5.00000000       13.0000000       114.000290    
   62.0000000      -55.2000046       5.00000000       13.0000000       114.400291    
   64.0000000      -50.0000038       5.00000000       13.0000000       114.800293    
   66.0000000      -44.8000031       5.00000000       13.0000000       115.200294    
   68.0000000      -39.6000023       5.00000000       13.0000000       115.600296    
   70.0000000      -34.4000015       5.00000000       13.0000000       116.000298    
   72.0000000      -29.2000008       5.00000000       13.0000000       116.400299    
   74.0000000      -24.0000000       5.00000000       13.0000000       116.800301    
   76.0000000      -18.7999992       5.00000000       13.0000000       117.200302    
   78.0000000      -13.5999985       5.00000000       13.0000000       117.600304    
   80.0000000      -8.39999771       5.00000000       13.0000000       118.000305    
   82.0000000      -3.19999743       5.00000000       13.0000000       118.400307    
   84.0000000       2.00000286       5.00000000       13.0000000       118.800308    
   86.0000000       7.20000315       5.00000000       13.0000000       119.200310    
   88.0000000       12.4000034       5.00000000       13.0000000       119.600311    
   90.0000000       17.6000042       5.00000000       13.0000000       120.000313    
   92.0000000       22.8000050       5.00000000       13.0000000       120.400314    
   94.0000000       28.0000057       5.00000000       13.0000000       120.800316    
   96.0000000       33.2000046       5.00000000       13.0000000       121.200317    
   98.0000000       38.4000053       5.00000000       13.0000000       121.600319    
   100.000000       43.6000061      -5.00000000       13.0000000       122.000320    
   98.0000000       48.8000069      -5.00000000       13.0000000       122.400322    
   96.0000000       54.0000076      -5.00000000       13.0000000       122.800323    
   94.0000000       59.2000084      -5.00000000       13.0000000       123.200325    
   92.0000000       64.4000092      -5.00000000       13.0000000       123.600327    
   90.0000000       69.6000061      -5.00000000       13.0000000       124.000328    
   88.0000000       74.8000031      -5.00000000       13.0000000       124.400330    
   86.0000000       80.0000000      -5.00000000       13.0000000       124.800331    
   84.0000000       85.1999969      -5.00000000       13.0000000       125.200333    
   82.0000000       90.3999939      -5.00000000       13.0000000       125.600334    
   80.0000000       95.5999908      -5.00000000       13.0000000       126.000336    
   78.0000000       100.799988      -5.00000000      -13.0000000       126.400337    
   76.0000000       95.5999908      -5.00000000      -13.0000000       126.800339    
   74.0000000       90.3999939      -5.00000000      -13.0000000       127.200340    
   72.0000000       85.1999969      -5.00000000      -13.0000000       127.600342    
   70.0000000       80.0000000      -5.00000000      -13.0000000       128.000336    
   68.0000000       74.8000031      -5.00000000      -13.0000000       128.400330    
   66.0000000       69.6000061      -5.00000000      -13.0000000       128.800323    
   64.0000000       64.4000092      -5.00000000      -13.0000000       129.200317    
   62.0000000       59.2000084      -5.00000000      -13.0000000       129.600311    
   60.0000000       54.0000076      -5.00000000      -13.0000000       130.000305    
   58.0000000       48.8000069      -5.00000000      -13.0000000       130.400299    
   56.0000000       43.6000061      -5.00000000      -13.0000000       130.800293    
   54.0000000       38.4000053      -5.00000000      -13.0000000       131.200287    
   52.0000000       33.2000046      -5.00000000      -13.0000000       131.600281    
   50.0000000       28.0000038      -5.00000000      -13.0000000       132.000275    
   48.0000000       22.8000031      -5.00000000      -13.0000000       132.400269    
   46.0000000       17.6000023      -5.00000000      -13.0000000       132.800262    
   44.0000000       12.4000015      -5.00000000      -13.0000000       133.200256    
   42.0000000       7.20000124      -5.00000000      -13.0000000       133.600250    
   40.0000000       2.00000095      -5.00000000      -13.0000000       134.000244    
   38.0000000      -3.19999933      -5.00000000      -13.0000000       134.400238    
   36.0000000      -8.39999962      -5.00000000      -13.0000000       134.800232    
   34.0000000      -13.6000004      -5.00000000      -13.0000000       135.200226    
   32.0000000      -18.8000011      -5.00000000      -13.0000000       135.600220    
   30.0000000      -24.0000019      -5.00000000      -13.0000000       136.000214    
   28.0000000      -29.2000027      -5.00000000      -13.0000000       136.400208    
   26.0000000      -34.4000015      -5.00000000      -13.0000000       136.800201    
   24.0000000      -39.6000023      -5.00000000      -13.0000000       137.200195    
   22.0000000      -44.8000031      -5.00000000      -13.0000000       137.600189    
   20.0000000      -50.0000038      -5.00000000      -13.0000000       138.000183    
   18.0000000      -55.2000046      -5.00000000      -13.0000000       138.400177    
   16.0000000      -60.4000053      -5.00000000      -13.0000000       138.800171    
   14.0000000      -65.6000061      -5.00000000      -13.0000000       139.200165    
   12.0000000      -70.8000031      -5.00000000      -13.0000000       139.600159    
   10.0000000      -76.0000000      -5.00000000      -13.0000000       140.000153    
   8.00000000      -81.1999969      -5.00000000      -13.0000000       140.400146    
   6.00000000      -86.3999939      -5.00000000      -13.0000000       140.800140    
   4.00000000      -91.5999908      -5.00000000      -13.0000000       141.200134    
   2.00000000      -96.7999878      -5.00000000      -13.0000000       141.600128    
   0.00000000      -101.999985      -5.00000000       13.0000000       142.000122    
  -2.00000000      -96.7999878      -5.00000000       13.0000000       142.400116    
  -4.00000000      -91.5999908      -5.00000000       13.0000000       142.800110    
  -6.00000000      -86.3999939      -5.00000000       13.0000000       143.200104    
